model,target,feature,coefficient,abs_coefficient
logistic_outcome,away_win,is_knockout,-0.4417896266210214,0.4417896266210214
logistic_outcome,away_win,own_recent_ppg,-0.3204137474345115,0.3204137474345115
logistic_outcome,away_win,own_cycle_gd,-0.300665388216464,0.300665388216464
logistic_outcome,away_win,fifa_rank_advantage,-0.24609942884735267,0.24609942884735267
logistic_outcome,away_win,opp_recent_ga,-0.2142994863022267,0.2142994863022267
logistic_outcome,away_win,own_cycle_ppg,0.19829742963493915,0.19829742963493915
logistic_outcome,away_win,opp_prev_wc_ppg,0.1770930266820971,0.1770930266820971
logistic_outcome,away_win,own_prev_wc_gd,0.17373932697145866,0.17373932697145866
logistic_outcome,away_win,opp_recent_gd,0.12110474073612237,0.12110474073612237
logistic_outcome,away_win,opp_cycle_ppg,-0.10296112665424886,0.10296112665424886
logistic_outcome,away_win,own_recent_gf,-0.09816454667820415,0.09816454667820415
logistic_outcome,away_win,own_recent_ga,-0.0897647509701205,0.0897647509701205
logistic_outcome,away_win,opp_recent_ppg,-0.07534962419066744,0.07534962419066744
logistic_outcome,away_win,opp_prev_wc_gd,0.05766134387003744,0.05766134387003744
logistic_outcome,away_win,own_recent_gd,-0.02864958952589805,0.02864958952589805
logistic_outcome,away_win,opp_recent_gf,0.02177067348025678,0.02177067348025678
logistic_outcome,away_win,own_prev_wc_ppg,-0.016069393814702165,0.016069393814702165
logistic_outcome,away_win,opp_cycle_gd,0.01595495267996249,0.01595495267996249
logistic_outcome,away_win,host_diff,0.01203212072716422,0.01203212072716422
logistic_outcome,away_win,fifa_points_diff,-0.004813580290165995,0.004813580290165995
logistic_outcome,draw,own_cycle_gd,0.4251010780172532,0.4251010780172532
logistic_outcome,draw,own_cycle_ppg,-0.41681210155858384,0.41681210155858384
logistic_outcome,draw,own_recent_ppg,0.3768145257232164,0.3768145257232164
logistic_outcome,draw,fifa_points_diff,-0.23429210102643172,0.23429210102643172
logistic_outcome,draw,opp_recent_ppg,-0.22108820946316612,0.22108820946316612
logistic_outcome,draw,own_prev_wc_gd,-0.20464106326303336,0.20464106326303336
logistic_outcome,draw,own_recent_gf,-0.12524935511886856,0.12524935511886856
logistic_outcome,draw,is_knockout,0.10672808017181697,0.10672808017181697
logistic_outcome,draw,own_prev_wc_ppg,0.10105629519487443,0.10105629519487443
logistic_outcome,draw,opp_prev_wc_ppg,0.08688271699628942,0.08688271699628942
logistic_outcome,draw,opp_recent_ga,-0.08323170373727226,0.08323170373727226
logistic_outcome,draw,opp_prev_wc_gd,-0.07275319167552738,0.07275319167552738
logistic_outcome,draw,own_recent_gd,-0.07202779650574492,0.07202779650574492
logistic_outcome,draw,opp_recent_gd,0.06710775522767083,0.06710775522767083
logistic_outcome,draw,opp_cycle_ppg,0.05070329443063409,0.05070329443063409
logistic_outcome,draw,fifa_rank_advantage,0.044945850753837176,0.044945850753837176
logistic_outcome,draw,own_recent_ga,-0.039583393255580204,0.039583393255580204
logistic_outcome,draw,host_diff,0.03379228468863404,0.03379228468863404
logistic_outcome,draw,opp_recent_gf,0.03319106793821801,0.03319106793821801
logistic_outcome,draw,opp_cycle_gd,-0.003638150058584973,0.003638150058584973
logistic_outcome,home_win,is_knockout,0.33506154644920416,0.33506154644920416
logistic_outcome,home_win,opp_recent_ga,0.2975311900394987,0.2975311900394987
logistic_outcome,home_win,opp_recent_ppg,0.2964378336538335,0.2964378336538335
logistic_outcome,home_win,opp_prev_wc_ppg,-0.26397574367838567,0.26397574367838567
logistic_outcome,home_win,fifa_points_diff,0.23910568131659735,0.23910568131659735
logistic_outcome,home_win,own_recent_gf,0.22341390179707274,0.22341390179707274
logistic_outcome,home_win,own_cycle_ppg,0.2185146719236445,0.2185146719236445
logistic_outcome,home_win,fifa_rank_advantage,0.2011535780935149,0.2011535780935149
logistic_outcome,home_win,opp_recent_gd,-0.18821249596379372,0.18821249596379372
logistic_outcome,home_win,own_recent_ga,0.12934814422570062,0.12934814422570062
logistic_outcome,home_win,own_cycle_gd,-0.12443568980078928,0.12443568980078928
logistic_outcome,home_win,own_recent_gd,0.10067738603164239,0.10067738603164239
logistic_outcome,home_win,own_prev_wc_ppg,-0.08498690138017262,0.08498690138017262
logistic_outcome,home_win,own_recent_ppg,-0.056400778288704594,0.056400778288704594
logistic_outcome,home_win,opp_recent_gf,-0.05496174141847461,0.05496174141847461
logistic_outcome,home_win,opp_cycle_ppg,0.05225783222361531,0.05225783222361531
logistic_outcome,home_win,host_diff,-0.04582440541579853,0.04582440541579853
logistic_outcome,home_win,own_prev_wc_gd,0.030901736291574163,0.030901736291574163
logistic_outcome,home_win,opp_prev_wc_gd,0.015091847805490615,0.015091847805490615
logistic_outcome,home_win,opp_cycle_gd,-0.012316802621377389,0.012316802621377389
